,start,end,featlen,totlen,percent,type,name,gene
ARID1A_1017_1108_DOMAIN,1017.0,1108.0,91.0,2285.0,0.03982494529540481,DOMAIN,ARID,ARID1A
ARID1A_295_299_MOTIF,295.0,299.0,4.0,2285.0,0.00175054704595186,MOTIF,LXXLL,ARID1A
ARID1A_1368_1387_MOTIF,1368.0,1387.0,19.0,2285.0,0.008315098468271335,MOTIF,Nuclear localization signal,ARID1A
ARID1A_1709_1713_MOTIF,1709.0,1713.0,4.0,2285.0,0.00175054704595186,MOTIF,LXXLL,ARID1A
ARID1A_1967_1971_MOTIF,1967.0,1971.0,4.0,2285.0,0.00175054704595186,MOTIF,LXXLL,ARID1A
ARID1A_2085_2089_MOTIF,2085.0,2089.0,4.0,2285.0,0.00175054704595186,MOTIF,LXXLL,ARID1A
KRAS_166_185_REGION,166.0,185.0,19.0,189.0,0.10052910052910052,REGION,Hypervariable region,KRAS
KRAS_32_40_MOTIF,32.0,40.0,8.0,189.0,0.042328042328042326,MOTIF,Effector region,KRAS
MYC_354_406_DOMAIN,354.0,406.0,52.0,439.0,0.11845102505694761,DOMAIN,bHLH,MYC
MYC_413_434_REGION,413.0,434.0,21.0,439.0,0.04783599088838269,REGION,Leucine-zipper,MYC
PRKDC_2883_3539_DOMAIN,2883.0,3539.0,656.0,4128.0,0.15891472868217055,DOMAIN,FAT,PRKDC
PRKDC_3747_4015_DOMAIN,3747.0,4015.0,268.0,4128.0,0.06492248062015504,DOMAIN,PI3K/PI4K,PRKDC
PRKDC_4096_4128_DOMAIN,4096.0,4128.0,32.0,4128.0,0.007751937984496124,DOMAIN,FATC,PRKDC
PRKDC_1503_1538_REGION,1503.0,1538.0,35.0,4128.0,0.008478682170542635,REGION,Leucine-zipper,PRKDC
PRKDC_2436_3212_REGION,2436.0,3212.0,776.0,4128.0,0.187984496124031,REGION,KIP-binding,PRKDC
RPTOR,,,,1335.0,,,,RPTOR
ABCB1_51_357_DOMAIN,51.0,357.0,306.0,1280.0,0.2390625,DOMAIN,ABC transmembrane type-1 1,ABCB1
ABCB1_392_628_DOMAIN,392.0,628.0,236.0,1280.0,0.184375,DOMAIN,ABC transporter 1,ABCB1
ABCB1_711_1000_DOMAIN,711.0,1000.0,289.0,1280.0,0.22578125,DOMAIN,ABC transmembrane type-1 2,ABCB1
ABCB1_1035_1273_DOMAIN,1035.0,1273.0,238.0,1280.0,0.1859375,DOMAIN,ABC transporter 2,ABCB1
CCNE1,,,,410.0,,,,CCNE1
ERBB2_720_987_DOMAIN,720.0,987.0,267.0,1255.0,0.21274900398406374,DOMAIN,Protein kinase,ERBB2
ERBB2_676_689_REGION,676.0,689.0,13.0,1255.0,0.010358565737051793,REGION,Required for interaction with KPNB1 and EEA1,ERBB2
ERBB2_1195_1197_REGION,1195.0,1197.0,2.0,1255.0,0.0015936254980079682,REGION,Interaction with PIK3C2B,ERBB2
ERBB2_676_689_MOTIF,676.0,689.0,13.0,1255.0,0.010358565737051793,MOTIF,Nuclear localization signal,ERBB2
ERBB4_718_985_DOMAIN,718.0,985.0,267.0,1308.0,0.20412844036697247,DOMAIN,Protein kinase,ERBB4
ERBB4_676_684_MOTIF,676.0,684.0,8.0,1308.0,0.0061162079510703364,MOTIF,Nuclear localization signal,ERBB4
ERBB4_1032_1035_MOTIF,1032.0,1035.0,3.0,1308.0,0.0022935779816513763,MOTIF,PPxY motif 1,ERBB4
ERBB4_1053_1056_MOTIF,1053.0,1056.0,3.0,1308.0,0.0022935779816513763,MOTIF,PPxY motif 2,ERBB4
ERBB4_1298_1301_MOTIF,1298.0,1301.0,3.0,1308.0,0.0022935779816513763,MOTIF,PPxY motif 3,ERBB4
ERBB4_1306_1308_MOTIF,1306.0,1308.0,2.0,1308.0,0.0015290519877675841,MOTIF,PDZ-binding,ERBB4
HOXA3_155_160_MOTIF,155.0,160.0,5.0,443.0,0.011286681715575621,MOTIF,Antp-type hexapeptide,HOXA3
MCL1_104_175_REGION,104.0,175.0,71.0,350.0,0.20285714285714285,REGION,PEST-like,MCL1
MCL1_209_223_MOTIF,209.0,223.0,14.0,350.0,0.04,MOTIF,BH3,MCL1
MCL1_252_272_MOTIF,252.0,272.0,20.0,350.0,0.05714285714285714,MOTIF,BH1,MCL1
MCL1_304_319_MOTIF,304.0,319.0,15.0,350.0,0.04285714285714286,MOTIF,BH2,MCL1
STAT3_580_670_DOMAIN,580.0,670.0,90.0,770.0,0.11688311688311688,DOMAIN,SH2,STAT3
STAT3_150_162_MOTIF,150.0,162.0,12.0,770.0,0.015584415584415584,MOTIF,Essential for nuclear import,STAT3
TP53_1_320_REGION,1.0,320.0,319.0,393.0,0.811704834605598,REGION,Interaction with CCAR2,TP53
TP53_1_83_REGION,1.0,83.0,82.0,393.0,0.20865139949109415,REGION,Interaction with HRMT1L2,TP53
TP53_1_44_REGION,1.0,44.0,43.0,393.0,0.10941475826972011,REGION,Transcription activation (acidic),TP53
TP53_66_110_REGION,66.0,110.0,44.0,393.0,0.11195928753180662,REGION,Interaction with WWOX,TP53
TP53_100_370_REGION,100.0,370.0,270.0,393.0,0.6870229007633588,REGION,Interaction with HIPK1,TP53
TP53_100_300_REGION,100.0,300.0,200.0,393.0,0.5089058524173028,REGION,Required for interaction with ZNF385A,TP53
TP53_113_236_REGION,113.0,236.0,123.0,393.0,0.31297709923664124,REGION,Required for interaction with FBXO42,TP53
TP53_116_292_REGION,116.0,292.0,176.0,393.0,0.44783715012722647,REGION,Interaction with AXIN1,TP53
TP53_241_248_REGION,241.0,248.0,7.0,393.0,0.017811704834605598,REGION,Interaction with the 53BP2 SH3 domain,TP53
TP53_256_294_REGION,256.0,294.0,38.0,393.0,0.09669211195928754,REGION,Interaction with E4F1,TP53
TP53_273_280_REGION,273.0,280.0,7.0,393.0,0.017811704834605598,REGION,Interaction with DNA,TP53
TP53_300_393_REGION,300.0,393.0,93.0,393.0,0.2366412213740458,REGION,Interaction with CARM1,TP53
TP53_319_360_REGION,319.0,360.0,41.0,393.0,0.10432569974554708,REGION,Interaction with HIPK2,TP53
TP53_325_356_REGION,325.0,356.0,31.0,393.0,0.07888040712468193,REGION,Oligomerization,TP53
TP53_359_363_REGION,359.0,363.0,4.0,393.0,0.010178117048346057,REGION,Interaction with USP7,TP53
TP53_368_387_REGION,368.0,387.0,19.0,393.0,0.04834605597964377,REGION,Basic (repression of DNA-binding),TP53
TP53_17_25_MOTIF,17.0,25.0,8.0,393.0,0.020356234096692113,MOTIF,TADI,TP53
TP53_48_56_MOTIF,48.0,56.0,8.0,393.0,0.020356234096692113,MOTIF,TADII,TP53
TP53_305_321_MOTIF,305.0,321.0,16.0,393.0,0.04071246819338423,MOTIF,Bipartite nuclear localization signal,TP53
TP53_339_350_MOTIF,339.0,350.0,11.0,393.0,0.027989821882951654,MOTIF,Nuclear export signal,TP53
TP53_370_372_MOTIF,370.0,372.0,2.0,393.0,0.005089058524173028,MOTIF,[KR]-[STA]-K motif,TP53
ALK_264_427_DOMAIN,264.0,427.0,163.0,1620.0,0.10061728395061728,DOMAIN,MAM 1,ALK
ALK_437_473_DOMAIN,437.0,473.0,36.0,1620.0,0.022222222222222223,DOMAIN,LDL-receptor class A,ALK
ALK_478_636_DOMAIN,478.0,636.0,158.0,1620.0,0.09753086419753086,DOMAIN,MAM 2,ALK
ALK_1116_1392_DOMAIN,1116.0,1392.0,276.0,1620.0,0.17037037037037037,DOMAIN,Protein kinase,ALK
ALK_1197_1199_REGION,1197.0,1199.0,2.0,1620.0,0.0012345679012345679,REGION,Inhibitor binding,ALK
BAP1_596_721_REGION,596.0,721.0,125.0,729.0,0.17146776406035666,REGION,Interaction with BRCA1,BAP1
BAP1_363_366_MOTIF,363.0,366.0,3.0,729.0,0.00411522633744856,MOTIF,HBM-like motif,BAP1
BAP1_717_722_MOTIF,717.0,722.0,5.0,729.0,0.006858710562414266,MOTIF,Nuclear localization signal,BAP1
BRAF_155_227_DOMAIN,155.0,227.0,72.0,766.0,0.09399477806788512,DOMAIN,RBD,BRAF
BRAF_457_717_DOMAIN,457.0,717.0,260.0,766.0,0.3394255874673629,DOMAIN,Protein kinase,BRAF
CDH20_61_165_DOMAIN,61.0,165.0,104.0,801.0,0.12983770287141075,DOMAIN,Cadherin 1,CDH20
CDH20_166_274_DOMAIN,166.0,274.0,108.0,801.0,0.1348314606741573,DOMAIN,Cadherin 2,CDH20
CDH20_275_389_DOMAIN,275.0,389.0,114.0,801.0,0.14232209737827714,DOMAIN,Cadherin 3,CDH20
CDH20_390_494_DOMAIN,390.0,494.0,104.0,801.0,0.12983770287141075,DOMAIN,Cadherin 4,CDH20
CDH20_494_610_DOMAIN,494.0,610.0,116.0,801.0,0.14481897627965043,DOMAIN,Cadherin 5,CDH20
CDKN2B,,,,138.0,,,,CDKN2B
DNMT3A_292_350_DOMAIN,292.0,350.0,58.0,912.0,0.06359649122807018,DOMAIN,PWWP,DNMT3A
DNMT3A_482_614_DOMAIN,482.0,614.0,132.0,912.0,0.14473684210526316,DOMAIN,ADD,DNMT3A
DNMT3A_634_912_DOMAIN,634.0,912.0,278.0,912.0,0.3048245614035088,DOMAIN,SAM-dependent MTase C5-type,DNMT3A
DNMT3A_199_403_REGION,199.0,403.0,204.0,912.0,0.2236842105263158,REGION,Interaction with DNMT1 and DNMT3B,DNMT3A
DNMT3A_494_586_REGION,494.0,586.0,92.0,912.0,0.10087719298245613,REGION,Interaction with the PRC2/EED-EZH2 complex,DNMT3A
DNMT3A_641_645_REGION,641.0,645.0,4.0,912.0,0.0043859649122807015,REGION,S-adenosyl-L-methionine binding,DNMT3A
DNMT3A_686_688_REGION,686.0,688.0,2.0,912.0,0.0021929824561403508,REGION,S-adenosyl-L-methionine binding,DNMT3A
DNMT3A_891_893_REGION,891.0,893.0,2.0,912.0,0.0021929824561403508,REGION,S-adenosyl-L-methionine binding,DNMT3A
EGFR_712_979_DOMAIN,712.0,979.0,267.0,1210.0,0.2206611570247934,DOMAIN,Protein kinase,EGFR
EGFR_688_704_REGION,688.0,704.0,16.0,1210.0,0.013223140495867768,REGION,"Important for dimerization, phosphorylation and activation",EGFR
ERCC2_7_283_DOMAIN,7.0,283.0,276.0,760.0,0.3631578947368421,DOMAIN,Helicase ATP-binding,ERCC2
ERCC2_438_637_REGION,438.0,637.0,199.0,760.0,0.2618421052631579,REGION,Mediates interaction with MMS19,ERCC2
ERCC2_234_237_MOTIF,234.0,237.0,3.0,760.0,0.003947368421052632,MOTIF,DEAH box,ERCC2
ERCC2_682_695_MOTIF,682.0,695.0,13.0,760.0,0.017105263157894738,MOTIF,Nuclear localization signal,ERCC2
FLT1_32_123_DOMAIN,32.0,123.0,91.0,1338.0,0.06801195814648729,DOMAIN,Ig-like C2-type 1,FLT1
FLT1_151_214_DOMAIN,151.0,214.0,63.0,1338.0,0.04708520179372197,DOMAIN,Ig-like C2-type 2,FLT1
FLT1_230_327_DOMAIN,230.0,327.0,97.0,1338.0,0.07249626307922272,DOMAIN,Ig-like C2-type 3,FLT1
FLT1_335_421_DOMAIN,335.0,421.0,86.0,1338.0,0.06427503736920777,DOMAIN,Ig-like C2-type 4,FLT1
FLT1_428_553_DOMAIN,428.0,553.0,125.0,1338.0,0.09342301943198804,DOMAIN,Ig-like C2-type 5,FLT1
FLT1_556_654_DOMAIN,556.0,654.0,98.0,1338.0,0.07324364723467862,DOMAIN,Ig-like C2-type 6,FLT1
FLT1_661_747_DOMAIN,661.0,747.0,86.0,1338.0,0.06427503736920777,DOMAIN,Ig-like C2-type 7,FLT1
FLT1_827_1158_DOMAIN,827.0,1158.0,331.0,1338.0,0.24738415545590434,DOMAIN,Protein kinase,FLT1
IKZF1_154_163_REGION,154.0,163.0,9.0,519.0,0.017341040462427744,REGION,Required for both high-affinity DNA binding and pericentromeric heterochromatin localization,IKZF1
IKZF1_180_195_REGION,180.0,195.0,15.0,519.0,0.028901734104046242,REGION,Required for both high-affinity DNA binding and pericentromeric heterochromatin localization,IKZF1
IKZF1_468_471_REGION,468.0,471.0,3.0,519.0,0.005780346820809248,REGION,Required for binding PP1CC,IKZF1
INHBA,,,,426.0,,,,INHBA
LRP1B_31_70_DOMAIN,31.0,70.0,39.0,4599.0,0.008480104370515329,DOMAIN,LDL-receptor class A 1,LRP1B
LRP1B_76_114_DOMAIN,76.0,114.0,38.0,4599.0,0.008262665796912372,DOMAIN,LDL-receptor class A 2,LRP1B
LRP1B_116_154_DOMAIN,116.0,154.0,38.0,4599.0,0.008262665796912372,DOMAIN,EGF-like 1,LRP1B
LRP1B_155_194_DOMAIN,155.0,194.0,39.0,4599.0,0.008480104370515329,DOMAIN,EGF-like 2; calcium-binding,LRP1B
LRP1B_471_517_DOMAIN,471.0,517.0,46.0,4599.0,0.010002174385736029,DOMAIN,EGF-like 3,LRP1B
LRP1B_794_834_DOMAIN,794.0,834.0,40.0,4599.0,0.008697542944118286,DOMAIN,EGF-like 4,LRP1B
LRP1B_844_882_DOMAIN,844.0,882.0,38.0,4599.0,0.008262665796912372,DOMAIN,LDL-receptor class A 3,LRP1B
LRP1B_885_923_DOMAIN,885.0,923.0,38.0,4599.0,0.008262665796912372,DOMAIN,LDL-receptor class A 4,LRP1B
LRP1B_926_963_DOMAIN,926.0,963.0,37.0,4599.0,0.008045227223309415,DOMAIN,LDL-receptor class A 5,LRP1B
LRP1B_966_1003_DOMAIN,966.0,1003.0,37.0,4599.0,0.008045227223309415,DOMAIN,LDL-receptor class A 6,LRP1B
LRP1B_1005_1043_DOMAIN,1005.0,1043.0,38.0,4599.0,0.008262665796912372,DOMAIN,LDL-receptor class A 7,LRP1B
LRP1B_1052_1089_DOMAIN,1052.0,1089.0,37.0,4599.0,0.008045227223309415,DOMAIN,LDL-receptor class A 8,LRP1B
LRP1B_1094_1132_DOMAIN,1094.0,1132.0,38.0,4599.0,0.008262665796912372,DOMAIN,LDL-receptor class A 9,LRP1B
LRP1B_1135_1174_DOMAIN,1135.0,1174.0,39.0,4599.0,0.008480104370515329,DOMAIN,LDL-receptor class A 10,LRP1B
LRP1B_1174_1213_DOMAIN,1174.0,1213.0,39.0,4599.0,0.008480104370515329,DOMAIN,EGF-like 5,LRP1B
LRP1B_1214_1253_DOMAIN,1214.0,1253.0,39.0,4599.0,0.008480104370515329,DOMAIN,EGF-like 6,LRP1B
LRP1B_1527_1570_DOMAIN,1527.0,1570.0,43.0,4599.0,0.009349858664927158,DOMAIN,EGF-like 7,LRP1B
LRP1B_1834_1875_DOMAIN,1834.0,1875.0,41.0,4599.0,0.008914981517721243,DOMAIN,EGF-like 8,LRP1B
LRP1B_2143_2183_DOMAIN,2143.0,2183.0,40.0,4599.0,0.008697542944118286,DOMAIN,EGF-like 9,LRP1B
LRP1B_2464_2504_DOMAIN,2464.0,2504.0,40.0,4599.0,0.008697542944118286,DOMAIN,EGF-like 10,LRP1B
LRP1B_2509_2548_DOMAIN,2509.0,2548.0,39.0,4599.0,0.008480104370515329,DOMAIN,LDL-receptor class A 11,LRP1B
LRP1B_2551_2587_DOMAIN,2551.0,2587.0,36.0,4599.0,0.007827788649706457,DOMAIN,LDL-receptor class A 12,LRP1B
LRP1B_2590_2626_DOMAIN,2590.0,2626.0,36.0,4599.0,0.007827788649706457,DOMAIN,LDL-receptor class A 13,LRP1B
LRP1B_2629_2675_DOMAIN,2629.0,2675.0,46.0,4599.0,0.010002174385736029,DOMAIN,LDL-receptor class A 14,LRP1B
LRP1B_2681_2717_DOMAIN,2681.0,2717.0,36.0,4599.0,0.007827788649706457,DOMAIN,LDL-receptor class A 15,LRP1B
LRP1B_2719_2757_DOMAIN,2719.0,2757.0,38.0,4599.0,0.008262665796912372,DOMAIN,LDL-receptor class A 16,LRP1B
LRP1B_2760_2800_DOMAIN,2760.0,2800.0,40.0,4599.0,0.008697542944118286,DOMAIN,LDL-receptor class A 17,LRP1B
LRP1B_2804_2841_DOMAIN,2804.0,2841.0,37.0,4599.0,0.008045227223309415,DOMAIN,LDL-receptor class A 18,LRP1B
LRP1B_2844_2885_DOMAIN,2844.0,2885.0,41.0,4599.0,0.008914981517721243,DOMAIN,LDL-receptor class A 19,LRP1B
LRP1B_2890_2926_DOMAIN,2890.0,2926.0,36.0,4599.0,0.007827788649706457,DOMAIN,LDL-receptor class A 20,LRP1B
LRP1B_2927_2967_DOMAIN,2927.0,2967.0,40.0,4599.0,0.008697542944118286,DOMAIN,EGF-like 11,LRP1B
LRP1B_2968_3008_DOMAIN,2968.0,3008.0,40.0,4599.0,0.008697542944118286,DOMAIN,EGF-like 12; calcium-binding,LRP1B
LRP1B_3273_3314_DOMAIN,3273.0,3314.0,41.0,4599.0,0.008914981517721243,DOMAIN,EGF-like 13,LRP1B
LRP1B_3316_3353_DOMAIN,3316.0,3353.0,37.0,4599.0,0.008045227223309415,DOMAIN,LDL-receptor class A 21,LRP1B
LRP1B_3356_3392_DOMAIN,3356.0,3392.0,36.0,4599.0,0.007827788649706457,DOMAIN,LDL-receptor class A 22,LRP1B
LRP1B_3395_3432_DOMAIN,3395.0,3432.0,37.0,4599.0,0.008045227223309415,DOMAIN,LDL-receptor class A 23,LRP1B
LRP1B_3435_3472_DOMAIN,3435.0,3472.0,37.0,4599.0,0.008045227223309415,DOMAIN,LDL-receptor class A 24,LRP1B
LRP1B_3475_3511_DOMAIN,3475.0,3511.0,36.0,4599.0,0.007827788649706457,DOMAIN,LDL-receptor class A 25,LRP1B
LRP1B_3514_3550_DOMAIN,3514.0,3550.0,36.0,4599.0,0.007827788649706457,DOMAIN,LDL-receptor class A 26,LRP1B
LRP1B_3552_3588_DOMAIN,3552.0,3588.0,36.0,4599.0,0.007827788649706457,DOMAIN,LDL-receptor class A 27,LRP1B
LRP1B_3593_3629_DOMAIN,3593.0,3629.0,36.0,4599.0,0.007827788649706457,DOMAIN,LDL-receptor class A 28,LRP1B
LRP1B_3631_3668_DOMAIN,3631.0,3668.0,37.0,4599.0,0.008045227223309415,DOMAIN,LDL-receptor class A 29,LRP1B
LRP1B_3673_3711_DOMAIN,3673.0,3711.0,38.0,4599.0,0.008262665796912372,DOMAIN,LDL-receptor class A 30,LRP1B
LRP1B_3714_3752_DOMAIN,3714.0,3752.0,38.0,4599.0,0.008262665796912372,DOMAIN,LDL-receptor class A 31,LRP1B
LRP1B_3761_3797_DOMAIN,3761.0,3797.0,36.0,4599.0,0.007827788649706457,DOMAIN,LDL-receptor class A 32,LRP1B
LRP1B_3801_3843_DOMAIN,3801.0,3843.0,42.0,4599.0,0.0091324200913242,DOMAIN,EGF-like 14,LRP1B
LRP1B_3844_3881_DOMAIN,3844.0,3881.0,37.0,4599.0,0.008045227223309415,DOMAIN,EGF-like 15,LRP1B
LRP1B_4171_4208_DOMAIN,4171.0,4208.0,37.0,4599.0,0.008045227223309415,DOMAIN,EGF-like 16,LRP1B
LRP1B_4213_4249_DOMAIN,4213.0,4249.0,36.0,4599.0,0.007827788649706457,DOMAIN,EGF-like 17,LRP1B
LRP1B_4249_4285_DOMAIN,4249.0,4285.0,36.0,4599.0,0.007827788649706457,DOMAIN,EGF-like 18,LRP1B
LRP1B_4285_4321_DOMAIN,4285.0,4321.0,36.0,4599.0,0.007827788649706457,DOMAIN,EGF-like 19,LRP1B
LRP1B_4321_4357_DOMAIN,4321.0,4357.0,36.0,4599.0,0.007827788649706457,DOMAIN,EGF-like 20,LRP1B
LRP1B_4357_4392_DOMAIN,4357.0,4392.0,35.0,4599.0,0.0076103500761035,DOMAIN,EGF-like 21,LRP1B
LRP1B_4390_4427_DOMAIN,4390.0,4427.0,37.0,4599.0,0.008045227223309415,DOMAIN,EGF-like 22,LRP1B
LRP1B_4492_4495_MOTIF,4492.0,4495.0,3.0,4599.0,0.0006523157208088715,MOTIF,Endocytosis signal,LRP1B
LRP1B_4559_4562_MOTIF,4559.0,4562.0,3.0,4599.0,0.0006523157208088715,MOTIF,Endocytosis signal,LRP1B
LRP6_282_324_DOMAIN,282.0,324.0,42.0,1613.0,0.026038437693738377,DOMAIN,EGF-like 1,LRP6
LRP6_588_628_DOMAIN,588.0,628.0,40.0,1613.0,0.024798512089274645,DOMAIN,EGF-like 2,LRP6
LRP6_889_930_DOMAIN,889.0,930.0,41.0,1613.0,0.02541847489150651,DOMAIN,EGF-like 3,LRP6
LRP6_1203_1244_DOMAIN,1203.0,1244.0,41.0,1613.0,0.02541847489150651,DOMAIN,EGF-like 4,LRP6
LRP6_1248_1286_DOMAIN,1248.0,1286.0,38.0,1613.0,0.023558586484810913,DOMAIN,LDL-receptor class A 1,LRP6
LRP6_1287_1323_DOMAIN,1287.0,1323.0,36.0,1613.0,0.022318660880347178,DOMAIN,LDL-receptor class A 2,LRP6
LRP6_1325_1361_DOMAIN,1325.0,1361.0,36.0,1613.0,0.022318660880347178,DOMAIN,LDL-receptor class A 3,LRP6
LRP6_20_275_REGION,20.0,275.0,255.0,1613.0,0.15809051456912585,REGION,Beta-propeller 1,LRP6
LRP6_328_589_REGION,328.0,589.0,261.0,1613.0,0.16181029138251704,REGION,Beta-propeller 2,LRP6
LRP6_631_890_REGION,631.0,890.0,259.0,1613.0,0.1605703657780533,REGION,Beta-propeller 3,LRP6
LRP6_933_1202_REGION,933.0,1202.0,269.0,1613.0,0.16676999380037197,REGION,Beta-propeller 4,LRP6
LRP6_1487_1493_MOTIF,1487.0,1493.0,6.0,1613.0,0.0037197768133911966,MOTIF,PPPSP motif A,LRP6
LRP6_1527_1534_MOTIF,1527.0,1534.0,7.0,1613.0,0.0043397396156230625,MOTIF,PPPSP motif B,LRP6
LRP6_1568_1575_MOTIF,1568.0,1575.0,7.0,1613.0,0.0043397396156230625,MOTIF,PPPSP motif C,LRP6
LRP6_1588_1593_MOTIF,1588.0,1593.0,5.0,1613.0,0.0030998140111593306,MOTIF,PPPSP motif D,LRP6
LRP6_1603_1610_MOTIF,1603.0,1610.0,7.0,1613.0,0.0043397396156230625,MOTIF,PPPSP motif E,LRP6
NF1_1235_1451_DOMAIN,1235.0,1451.0,216.0,2839.0,0.07608312786192321,DOMAIN,Ras-GAP,NF1
NF1_1580_1738_DOMAIN,1580.0,1738.0,158.0,2839.0,0.055653399084184575,DOMAIN,CRAL-TRIO,NF1
NF1_1580_1837_REGION,1580.0,1837.0,257.0,2839.0,0.09052483268756605,REGION,Lipid binding,NF1
NF1_2555_2571_MOTIF,2555.0,2571.0,16.0,2839.0,0.005635787249031349,MOTIF,Bipartite nuclear localization signal,NF1
RICTOR_1_789_REGION,1.0,789.0,788.0,1708.0,0.4613583138173302,REGION,Interaction with NBN,RICTOR
CCND1_28_152_DOMAIN,28.0,152.0,124.0,295.0,0.42033898305084744,DOMAIN,Cyclin N-terminal,CCND1
CYP2D6,,,,497.0,,,,CYP2D6
DOT1L_16_330_DOMAIN,16.0,330.0,314.0,1537.0,0.20429407937540664,DOMAIN,DOT1,DOT1L
DOT1L_136_139_REGION,136.0,139.0,3.0,1537.0,0.001951854261548471,REGION,S-adenosyl-L-methionine binding,DOT1L
DOT1L_159_168_REGION,159.0,168.0,9.0,1537.0,0.005855562784645413,REGION,S-adenosyl-L-methionine binding,DOT1L
DOT1L_222_223_REGION,222.0,223.0,1.0,1537.0,0.0006506180871828237,REGION,S-adenosyl-L-methionine binding,DOT1L
DOT1L_391_416_REGION,391.0,416.0,25.0,1537.0,0.01626545217957059,REGION,Required for interaction with nucleosomes and DNA,DOT1L
GSTP1_2_81_DOMAIN,2.0,81.0,79.0,210.0,0.3761904761904762,DOMAIN,GST N-terminal,GSTP1
GSTP1_83_204_DOMAIN,83.0,204.0,121.0,210.0,0.5761904761904761,DOMAIN,GST C-terminal,GSTP1
GSTP1_52_53_REGION,52.0,53.0,1.0,210.0,0.004761904761904762,REGION,Glutathione binding,GSTP1
GSTP1_65_66_REGION,65.0,66.0,1.0,210.0,0.004761904761904762,REGION,Glutathione binding,GSTP1
MRE11,,,,708.0,,,,MRE11
PKHD1_24_111_DOMAIN,24.0,111.0,87.0,4074.0,0.021354933726067747,DOMAIN,IPT/TIG 1; atypical,PKHD1
PKHD1_137_232_DOMAIN,137.0,232.0,95.0,4074.0,0.023318605792832597,DOMAIN,IPT/TIG 2,PKHD1
PKHD1_259_335_DOMAIN,259.0,335.0,76.0,4074.0,0.018654884634266077,DOMAIN,IPT/TIG 3,PKHD1
PKHD1_322_485_DOMAIN,322.0,485.0,163.0,4074.0,0.04000981836033382,DOMAIN,PA14,PKHD1
