Hugo_Symbol	Entrez_Gene_Id	Center	Tumor_Sample_Barcode	Fusion	DNA_support	RNA_support	Method	Frame	Comments	Fusion_Status
TP53	0	MSKCC-DMP	P-0012925-T01-IM5	TP53-intragenic	yes	unknown	NA	unknown	TP53 (NM_000546) rearrangement: c.-28-1687_c.207del Note: The TP53 rearrangement is a deletion of 5UTR and exons 1-4. One of the breakpoints is within exon 4.	
EGFR	0	MSKCC-DMP	P-0011119-T01-IM5	EGFR-intragenic	yes	unknown	NA	in frame	EGFR (NM_005228) vIII intragenic deletion: c.89-48637_c.890-295del	
NF2	0	MSKCC-DMP	P-0014137-T01-IM5	PRR5-ARHGAP8-NF2 fusion	yes	unknown	NA	unknown	NF2 (NM_000268) Rearrangement : c.363+6:NF2_chr22:45151093inv Note: The NF2 Rearrangement results in the inversion of exons 4-16 of NF2. Its functional significance is undetermined.	
PRR5-ARHGAP8	0	MSKCC-DMP	P-0014137-T01-IM5	PRR5-ARHGAP8-NF2 fusion	yes	unknown	NA	unknown	NF2 (NM_000268) Rearrangement : c.363+6:NF2_chr22:45151093inv Note: The NF2 Rearrangement results in the inversion of exons 4-16 of NF2. Its functional significance is undetermined.	
CDKN2C	0	MSKCC-DMP	P-0011219-T01-IM5	RNF11-CDKN2C fusion	yes	unknown	NA	unknown	CDKN2C (NM_078626) - RNF11 (NM_014372) rearrangement: c.380:CDKN2C_c.124-1153:RNF11del Note: The CDKN2C - RNF11 rearrangement is a deletion which leads to the fusion of CDKN2C exons 1-2 with RNF11 exons 2-3. One of the breakpoints is within exon2 of CDKN2C. The functional significance is undetermined.	
RNF11	0	MSKCC-DMP	P-0011219-T01-IM5	RNF11-CDKN2C fusion	yes	unknown	NA	unknown	CDKN2C (NM_078626) - RNF11 (NM_014372) rearrangement: c.380:CDKN2C_c.124-1153:RNF11del Note: The CDKN2C - RNF11 rearrangement is a deletion which leads to the fusion of CDKN2C exons 1-2 with RNF11 exons 2-3. One of the breakpoints is within exon2 of CDKN2C. The functional significance is undetermined.	
EGFR	0	MSKCC-DMP	P-0011219-T01-IM5	EGFR-intragenic	yes	unknown	NA	in frame	EGFR (NM_005228) vIII intragenic deletion: c.89-27828_c.890-82del	
NTRK3	0	MSKCC-DMP	P-0010556-T01-IM5	ZNF710-NTRK3 fusion	yes	unknown	NA	unknown	NTRK3 (NM_001012338) - ZNF710 (NM_198526) rearrangement: c.-28-10227:ZNF710_c.1415:NTRK3inv Note: The NTRK3 - ZNF710 rearrangement is an inversion which results in the fusion of ZNF710 exon1  with NTRK3 exons 14-20, including the kinase domain. One of the breakpoints is within exon 14 of NTRK3. The functional significance is undetermined.	
ZNF710	0	MSKCC-DMP	P-0010556-T01-IM5	ZNF710-NTRK3 fusion	yes	unknown	NA	unknown	NTRK3 (NM_001012338) - ZNF710 (NM_198526) rearrangement: c.-28-10227:ZNF710_c.1415:NTRK3inv Note: The NTRK3 - ZNF710 rearrangement is an inversion which results in the fusion of ZNF710 exon1  with NTRK3 exons 14-20, including the kinase domain. One of the breakpoints is within exon 14 of NTRK3. The functional significance is undetermined.	
CAMTA1	0	MSKCC-DMP	P-0013204-T01-IM5	ERRFI1-CAMTA1 fusion	yes	unknown	NA	unknown	ERRFI1 (NM_018948) - CAMTA1 (NM_015215) rearrangement: c.125:ERRFI1_c.510+17436:CAMTA1del Note: The ERRFI1 - CAMTA1 rearrangement is a deletion which results in the antisense fusion of ERRFI1 exons 1-2 with CATA1 exons 1-6. The functional significance is undetermined.	
ERRFI1	0	MSKCC-DMP	P-0013204-T01-IM5	ERRFI1-CAMTA1 fusion	yes	unknown	NA	unknown	ERRFI1 (NM_018948) - CAMTA1 (NM_015215) rearrangement: c.125:ERRFI1_c.510+17436:CAMTA1del Note: The ERRFI1 - CAMTA1 rearrangement is a deletion which results in the antisense fusion of ERRFI1 exons 1-2 with CATA1 exons 1-6. The functional significance is undetermined.	
WT1	0	MSKCC-DMP	P-0012905-T01-IM5	MAML2-WT1 fusion	yes	unknown	NA	out of frame	MAML2 (NM_032427) -  WT1 (NM_024426) Rearrangement :  c.2140-18723:MAML2_c.1433-79:WT1del Note: The MAML2 - WT1 Rearrangement results in the fusion of exons 1-2 of MAML2 with exon 10 of WT1. Its functional significance is undetermined.	
MAML2	0	MSKCC-DMP	P-0012905-T01-IM5	MAML2-WT1 fusion	yes	unknown	NA	out of frame	MAML2 (NM_032427) -  WT1 (NM_024426) Rearrangement :  c.2140-18723:MAML2_c.1433-79:WT1del Note: The MAML2 - WT1 Rearrangement results in the fusion of exons 1-2 of MAML2 with exon 10 of WT1. Its functional significance is undetermined.	
MCL1	0	MSKCC-DMP	P-0011192-T01-IM5	ENSA-MCL1 fusion	yes	unknown	NA	unknown	MCL1 (NM_021960) - ENSA (NM_004436) rearrangement : c.-565:MCL1_c.57+728:ENSAdup Note: The MCL1-ENSA rearrangement event is a duplication which results in the fusion of MCL1 promoter region with ENSA exons 2-4.	
ENSA	0	MSKCC-DMP	P-0011192-T01-IM5	ENSA-MCL1 fusion	yes	unknown	NA	unknown	MCL1 (NM_021960) - ENSA (NM_004436) rearrangement : c.-565:MCL1_c.57+728:ENSAdup Note: The MCL1-ENSA rearrangement event is a duplication which results in the fusion of MCL1 promoter region with ENSA exons 2-4.	
TERT	0	MSKCC-DMP	P-0011192-T01-IM5	SDHAP3-TERT fusion	yes	unknown	NA	unknown	TERT (NM_198253) rearrangement: c.-338:TERT_chr5:g.1536135del Note: The TERT rearrangement events results in the deletion of TERT promoter region. One of the breakpoints is within the TERT promoter.	
SDHAP3	0	MSKCC-DMP	P-0011192-T01-IM5	SDHAP3-TERT fusion	yes	unknown	NA	unknown	TERT (NM_198253) rearrangement: c.-338:TERT_chr5:g.1536135del Note: The TERT rearrangement events results in the deletion of TERT promoter region. One of the breakpoints is within the TERT promoter.	
SDCCAG8	0	MSKCC-DMP	P-0013304-T01-IM5	AKT3-SDCCAG8 fusion	yes	unknown	NA	unknown	AKT3 (NM_005465) - SDCCAG8 (NM_006642) rearrangement: c.1985+3720:SDCCAG8_c.*155:AKT3del Note: The AKT3 - SDCCAG8 rearrangement is a deletion that results in the antisense fusion of SDCCAG8 exon 16 to AKT3 exon 13. One of the breakpoints is within exon 13 of AKT3. The functional significance is undetermined.	
AKT3	0	MSKCC-DMP	P-0013304-T01-IM5	AKT3-SDCCAG8 fusion	yes	unknown	NA	unknown	AKT3 (NM_005465) - SDCCAG8 (NM_006642) rearrangement: c.1985+3720:SDCCAG8_c.*155:AKT3del Note: The AKT3 - SDCCAG8 rearrangement is a deletion that results in the antisense fusion of SDCCAG8 exon 16 to AKT3 exon 13. One of the breakpoints is within exon 13 of AKT3. The functional significance is undetermined.	
PIK3C2G	0	MSKCC-DMP	P-0013845-T01-IM5	TMTC2-PIK3C2G fusion	yes	unknown	NA	unknown	PIK3C2G (NM_004570) rearrangement: c.1137+95:PIK3C2G_chr12:g.83774061inv Note: The PIK3C2G  rearrangement is an inversion of exons 7-32.	
TMTC2	0	MSKCC-DMP	P-0013845-T01-IM5	TMTC2-PIK3C2G fusion	yes	unknown	NA	unknown	PIK3C2G (NM_004570) rearrangement: c.1137+95:PIK3C2G_chr12:g.83774061inv Note: The PIK3C2G  rearrangement is an inversion of exons 7-32.	
CDKN2A	0	MSKCC-DMP	P-0014513-T01-IM6	CDKN2A-intragenic	yes	unknown	NA	unknown	CDKN2Ap16INK4A (NM_000077) rearrangement: c.-4846_c.150+166del Note: The CDKN2Ap16INK4A  rearrangement is a deletion of 5UTR and exon 1. One of the breakpoints is within exon 1.	
EGFR	0	MSKCC-DMP	P-0010004-T01-IM5	EGFR-intragenic	yes	unknown	NA	in frame	EGFR (NM_005228) vIII intragenic deletion :   c.88+49173_889+222del	
IKZF1	0	MSKCC-DMP	P-0014099-T01-IM5	CNTNAP2-IKZF1 fusion	yes	unknown	NA	unknown	IKZF1 (NM_006060) - CNTNAP2 (NM_014141) rearrangement: c.855-31:IKZF1_c.98-179770:CNTNAP2inv Note: The IKZF1 rearrangement is an inversion which includes exon 8 of IKZF1. The functional significance is undetermined.	
CNTNAP2	0	MSKCC-DMP	P-0014099-T01-IM5	CNTNAP2-IKZF1 fusion	yes	unknown	NA	unknown	IKZF1 (NM_006060) - CNTNAP2 (NM_014141) rearrangement: c.855-31:IKZF1_c.98-179770:CNTNAP2inv Note: The IKZF1 rearrangement is an inversion which includes exon 8 of IKZF1. The functional significance is undetermined.	
CELF2	0	MSKCC-DMP	P-0010252-T01-IM5	APC-CELF2 fusion	yes	unknown	NA	unknown	APC (NM_000038) rearrangement: t(5;10)(q22.2;p14)(chr5:g.112102954::chr10:g.11385531) Note: The APC rearrangement is a translocation that may result in the truncation of exons 4-16. The breakpoint is within exon 4.	
APC	0	MSKCC-DMP	P-0010252-T01-IM5	APC-CELF2 fusion	yes	unknown	NA	unknown	APC (NM_000038) rearrangement: t(5;10)(q22.2;p14)(chr5:g.112102954::chr10:g.11385531) Note: The APC rearrangement is a translocation that may result in the truncation of exons 4-16. The breakpoint is within exon 4.	
NRG1	0	MSKCC-DMP	P-0011180-T01-IM5	CD74-NRG1 fusion	yes	unknown	NA	unknown	CD74 (NM_001025159) - NRG1 (NM_013956) rearrangement: t(5;8)(q32;p12)(chr5:g.149782758::chr8:g.32513214) Note: The CD74 - NRG1 rearrangement is a translocation that results in the fusion of CD74 exons 1-7 with  NRG1 exons 2-13. One of the breakpoints is within CD74 exon 7. The somatic gene fusion CD74 - NRG1 has been identified in invasive mucinous lung adenocarcinomas.  Additionally, this fusion has been shown to confer oncogenic properties in cell lines. . See references: 1.) Oncogenic Fusion Gene CD74-NRG1 Confers Cancer Stem Cell-like Properties in Lung Cancer through a IGF2 Autocrine/Paracrine Circuit. Cancer Research 2016 Feb 15; 76(4): 974-83. 2.) CD74?NRG1 Fusions in Lung Adenocarcinoma. Cancer Discovery 2014 April 1; 4: 415-22.	
CD74	0	MSKCC-DMP	P-0011180-T01-IM5	CD74-NRG1 fusion	yes	unknown	NA	unknown	CD74 (NM_001025159) - NRG1 (NM_013956) rearrangement: t(5;8)(q32;p12)(chr5:g.149782758::chr8:g.32513214) Note: The CD74 - NRG1 rearrangement is a translocation that results in the fusion of CD74 exons 1-7 with  NRG1 exons 2-13. One of the breakpoints is within CD74 exon 7. The somatic gene fusion CD74 - NRG1 has been identified in invasive mucinous lung adenocarcinomas.  Additionally, this fusion has been shown to confer oncogenic properties in cell lines. . See references: 1.) Oncogenic Fusion Gene CD74-NRG1 Confers Cancer Stem Cell-like Properties in Lung Cancer through a IGF2 Autocrine/Paracrine Circuit. Cancer Research 2016 Feb 15; 76(4): 974-83. 2.) CD74?NRG1 Fusions in Lung Adenocarcinoma. Cancer Discovery 2014 April 1; 4: 415-22.	
DNMT1	0	MSKCC-DMP	P-0014421-T01-IM6	FRAT2-DNMT1 fusion	yes	unknown	NA	unknown	DNMT1 (NM_001379) rearrangement: t(10;19)(q24.1; p13.2)(chr10:g.99096319::chr19:g.10244272) Note: The DNMT1 rearrangement is a translocation with a breakpoint within the 3UTR of DNMT1. The functional significance is undetermined.	
FRAT2	0	MSKCC-DMP	P-0014421-T01-IM6	FRAT2-DNMT1 fusion	yes	unknown	NA	unknown	DNMT1 (NM_001379) rearrangement: t(10;19)(q24.1; p13.2)(chr10:g.99096319::chr19:g.10244272) Note: The DNMT1 rearrangement is a translocation with a breakpoint within the 3UTR of DNMT1. The functional significance is undetermined.	
CDKN2A	0	MSKCC-DMP	P-0010222-T01-IM5	CDKN2BAS-CDKN2A fusion	yes	unknown	NA	unknown	CDKN2Ap16INK4A (NM_000077) rearrangement : c.319:CDKN2Ap16INK4A_chr9:g.22027267del CDKN2Ap14ARF (NM_058195) rearrangement : c.362:CDKN2Ap14ARF_chr9:g.22027267del Note: The CDKN2Ap16INK4A and CDKN2Ap14ARF structural rearrangements reported constitute a single event affecting both isoforms of the protein, deleting CDKN2A exons 1-2. One of the breakpoints is within exon2.	
CDKN2BAS	0	MSKCC-DMP	P-0010222-T01-IM5	CDKN2BAS-CDKN2A fusion	yes	unknown	NA	unknown	CDKN2Ap16INK4A (NM_000077) rearrangement : c.319:CDKN2Ap16INK4A_chr9:g.22027267del CDKN2Ap14ARF (NM_058195) rearrangement : c.362:CDKN2Ap14ARF_chr9:g.22027267del Note: The CDKN2Ap16INK4A and CDKN2Ap14ARF structural rearrangements reported constitute a single event affecting both isoforms of the protein, deleting CDKN2A exons 1-2. One of the breakpoints is within exon2.	
ERBB3	0	MSKCC-DMP	P-0013412-T01-IM5	API5-ERBB3 fusion	yes	unknown	NA	unknown	ERBB3 (NM_001982) Rearrangement : t(11;12)(11p12;12q13.3)(chr11:g.43257266::chr12:g.56495675) Note: The ERBB3 Rearrangement is a translocation event which results in the possible truncation of ERBB3. One of the breakpoints is within exon28. Its functional significance is undetermined.	
API5	0	MSKCC-DMP	P-0013412-T01-IM5	API5-ERBB3 fusion	yes	unknown	NA	unknown	ERBB3 (NM_001982) Rearrangement : t(11;12)(11p12;12q13.3)(chr11:g.43257266::chr12:g.56495675) Note: The ERBB3 Rearrangement is a translocation event which results in the possible truncation of ERBB3. One of the breakpoints is within exon28. Its functional significance is undetermined.	
AXIN2	0	MSKCC-DMP	P-0013412-T01-IM5	PRKCA-AXIN2 fusion	yes	unknown	NA	unknown	AXIN2 (NM_004655) Rearrangement : c.1543_chr17:g.64812120del Note: The AXIN2 Rearrangement results in the deletion of exons 1- 6 of AXIN2. One of the breakpoints is within exon6. Its functional significance is undetermined.	
PRKCA	0	MSKCC-DMP	P-0013412-T01-IM5	PRKCA-AXIN2 fusion	yes	unknown	NA	unknown	AXIN2 (NM_004655) Rearrangement : c.1543_chr17:g.64812120del Note: The AXIN2 Rearrangement results in the deletion of exons 1- 6 of AXIN2. One of the breakpoints is within exon6. Its functional significance is undetermined.	
TFE3	0	MSKCC-DMP	P-0010184-T01-IM5	FUBP1-TFE3 fusion	yes	unknown	NA	unknown	FUBP1 (NM_003902) - TFE3 (NM_006521) rearrangement: t(1;X)(p31.1;p11.23)(chr1:g.78424093::chrX:g.48895840) Note: The FUBP1 - TFE3 rearrangement is a translocation that results in a fusion of FUBP1 exons 1-17 with TFE3 exons 4-10. One of the breakpoints is within TFE3 exon 4. The functional significance is undetermined.	
FUBP1	0	MSKCC-DMP	P-0010184-T01-IM5	FUBP1-TFE3 fusion	yes	unknown	NA	unknown	FUBP1 (NM_003902) - TFE3 (NM_006521) rearrangement: t(1;X)(p31.1;p11.23)(chr1:g.78424093::chrX:g.48895840) Note: The FUBP1 - TFE3 rearrangement is a translocation that results in a fusion of FUBP1 exons 1-17 with TFE3 exons 4-10. One of the breakpoints is within TFE3 exon 4. The functional significance is undetermined.	
ROS1	0	MSKCC-DMP	P-0010760-T01-IM5	CD74-ROS1 fusion	yes	unknown	NA	in frame	CD74 (NM_001025159) - ROS1 (NM_002944) fusion (CD74 exons 1-6 fused to ROS1 exons 34-43): t(5;6)(5q32;6q22.1)(chr5:g.149783763::chr6:g.117647234 ) Note: The CD74 - ROS1 fusion is predicted to be in frame and includes the kinase domain of ROS1.	
CD74	0	MSKCC-DMP	P-0010760-T01-IM5	CD74-ROS1 fusion	yes	unknown	NA	in frame	CD74 (NM_001025159) - ROS1 (NM_002944) fusion (CD74 exons 1-6 fused to ROS1 exons 34-43): t(5;6)(5q32;6q22.1)(chr5:g.149783763::chr6:g.117647234 ) Note: The CD74 - ROS1 fusion is predicted to be in frame and includes the kinase domain of ROS1.	
NOTCH3	0	MSKCC-DMP	P-0015085-T01-IM6	MZF1-NOTCH3 fusion	yes	unknown	NA	unknown	NOTCH3 (NM_000435) - MZF1 (NM_003422) rearrangement: c.197+23:NOTCH3_c.773-2319:MZF1 Note: The NOTCH3 - MZF1 rearrangement is an inversion which results in the antisense fusion of NOTCH3 exon2 to MZF1 exon 5. The functional significance is undetermined.	
MZF1	0	MSKCC-DMP	P-0015085-T01-IM6	MZF1-NOTCH3 fusion	yes	unknown	NA	unknown	NOTCH3 (NM_000435) - MZF1 (NM_003422) rearrangement: c.197+23:NOTCH3_c.773-2319:MZF1 Note: The NOTCH3 - MZF1 rearrangement is an inversion which results in the antisense fusion of NOTCH3 exon2 to MZF1 exon 5. The functional significance is undetermined.	
BRCA2	0	MSKCC-DMP	P-0010613-T01-IM5	CLYBL-BRCA2 fusion	yes	unknown	NA	unknown	BRCA2 (NM_000059) - CLYBL (NM_206808) rearrangement: c.8855:BRCA2_c.62+12536:CLYBLdel Note: The BRCA2 - CLYBL rearrangement is deletion that results in a fusion of BRCA exons 1-22 with CLYBL exons 2-8. One of the breakpoints is within BRCA2 exon 22. The functional significance is undetermined.	
CLYBL	0	MSKCC-DMP	P-0010613-T01-IM5	CLYBL-BRCA2 fusion	yes	unknown	NA	unknown	BRCA2 (NM_000059) - CLYBL (NM_206808) rearrangement: c.8855:BRCA2_c.62+12536:CLYBLdel Note: The BRCA2 - CLYBL rearrangement is deletion that results in a fusion of BRCA exons 1-22 with CLYBL exons 2-8. One of the breakpoints is within BRCA2 exon 22. The functional significance is undetermined.	
NF1	0	MSKCC-DMP	P-0013309-T01-IM5	NF1-intragenic	yes	unknown	NA	unknown	NF1 (NM_001042492) rearrangement: c.265_c.289-2038dup Note: The NF1 rearrangement is an intragenic duplication of a part of exon 3. One of the breakpoints is within exon 3.	
EP300	0	MSKCC-DMP	P-0012107-T01-IM5	EP300-intragenic	yes	unknown	NA	unknown	EP300 (NM_001429) Rearrangement : c.3371_c.3583del Note: The EP300 Rearrangement results in the intragenic deletion of exons 18-19 of EP300. The breakpoints are within exon 18 and 19 respectively. Its functional significance is undetermined.	
ARID1B	0	MSKCC-DMP	P-0012107-T01-IM5	ARID1B-intragenic	yes	unknown	NA	unknown	ARID1B (NM_020732) Rearrangement : chr6:g.157090092_c.928:ARID1Bdel Note: The ARID1B Rearrangement results in the deletion of exon1 of ARID1B . One of the breakpoints is within exon1. Its functional significance is undetermined.	
APC	0	MSKCC-DMP	P-0010238-T01-IM5	APC-intragenic	yes	unknown	NA	unknown	APC (NM_000038) Rearrangement : c.3156_4880del Note: The APC Rearrangement results in the partial deletion of exon 16 of APC. Both the breakpoints are within exon16. Its functional significance is undetermined.	
SETD2	0	MSKCC-DMP	P-0012516-T01-IM5	SETD2-intragenic	yes	unknown	NA	unknown	SETD2 (NM_014159) rearrangement: c.907_c.4586+694dup Note: The SETD2 rearrangement is a duplication of exons 3-4. One of the breakpoints is within exon 3. The functional significance is undetermined.	
MTMR3	0	MSKCC-DMP	P-0012993-T01-IM5	ERBB3-MTMR3 fusion	yes	unknown	NA	unknown	MTMR3 (NM_021090) - ERBB3 (NM_001982) Rearrangement :  t(12;22)(q13.3;q12.2)(chr12:g.56487886::chr22:g.30290490) Note: The MTMR3 - ERBB3 Rearrangement is a translocation event which results in the fusion of the 5'UTR region of MTMR3 with exons 14-28 of ERBB3. This includes the kinase domain of ERBB3.	
ERBB3	0	MSKCC-DMP	P-0012993-T01-IM5	ERBB3-MTMR3 fusion	yes	unknown	NA	unknown	MTMR3 (NM_021090) - ERBB3 (NM_001982) Rearrangement :  t(12;22)(q13.3;q12.2)(chr12:g.56487886::chr22:g.30290490) Note: The MTMR3 - ERBB3 Rearrangement is a translocation event which results in the fusion of the 5'UTR region of MTMR3 with exons 14-28 of ERBB3. This includes the kinase domain of ERBB3.	
EGFR	0	MSKCC-DMP	P-0008258-T01-IM5	EGFR-intragenic	yes	unknown	NA	in frame	EGFR (NM_005228) vIII intragenic deletion:c.89-1456_c.889+418del	
EGFR	0	MSKCC-DMP	P-0006268-T01-IM5	EGFR-intragenic	yes	unknown	NA	in frame	EGFR (NM_005228) Rearrangement : c.2061+100_3114+140dup Note: The EGFR (NM_005228) rearrangement results in the duplication of exons 18 to 25 of EGFR.  Its functional significance is undetermined.	
RPTOR	0	MSKCC-DMP	P-0005144-T01-IM5	RPTOR-intragenic	yes	unknown	NA	unknown	RPTOR (NM_020761) rearrangement: c.1213-3708_c.1949dup Note2: The RPTOR (NM_020761) rearrangement event results in the duplication of RPTOR exons 11-17. One of the breakpoints is within RPTOR exon 17. The functional significance of this event is unknown.	
EGFR	0	MSKCC-DMP	P-0007314-T01-IM5	EGFR-intragenic	yes	unknown	NA	in frame	EGFR (NM_005228) viii intragenic deletion : c.88+59673_c.890-81del	
NRG1	0	MSKCC-DMP	P-0004752-T01-IM5	CD74-NRG1 fusion	yes	unknown	NA	in frame	CD74 (NM_001025159) - NRG1 (NM_013956) rearrangement  : t(5;8)(5q32;8p12)(chr8:g.32549502::chr5:g.149782966) Note: The CD74 (NM_001025159) - NRG1 (NM_013956) rearrangement event is a reciprocal translocation which results in the fusion of CD74 exons 1-6 with NRG1 exons 6-13. The event has been previously described in literature (PMID: 24469108).	
CD74	0	MSKCC-DMP	P-0004752-T01-IM5	CD74-NRG1 fusion	yes	unknown	NA	in frame	CD74 (NM_001025159) - NRG1 (NM_013956) rearrangement  : t(5;8)(5q32;8p12)(chr8:g.32549502::chr5:g.149782966) Note: The CD74 (NM_001025159) - NRG1 (NM_013956) rearrangement event is a reciprocal translocation which results in the fusion of CD74 exons 1-6 with NRG1 exons 6-13. The event has been previously described in literature (PMID: 24469108).	
PTEN	0	MSKCC-DMP	P-0006639-T01-IM5	PTEN-intragenic	yes	unknown	NA	out of frame	PTEN (NM_000314) rearrangement : c.635-1095_801+52dup Note: The PTEN (NM_000314) rearrangement event results in the duplication of PTEN exon 7.	
BRCA2	0	MSKCC-DMP	P-0008187-T01-IM5	BRCA2-intragenic	yes	unknown	NA	unknown	BRCA2 (NM_000059) Rearrangement :  c.8633-663_9080dup Note: The BRCA2 Rearrangement  results in the intragenic duplication of exon 21 to exon 23. One of the breakpoints is within exon23. Its functional signIficance is undetermined.	
KDM6A	0	MSKCC-DMP	P-0007622-T01-IM5	KDM6A-intragenic	yes	unknown	NA	out of frame	KDM6A (NM_021140) rearrangement: c.334+4130_1329+521del Note: The KDM6A (NM_021140) rearrangement event results in the deletion of KDM6A exons 4-13. This event is is predicted to result in an out of frame transcript.	
DNAH1	0	MSKCC-DMP	P-0005352-T01-IM5	PBRM1-DNAH1 fusion	yes	unknown	NA	unknown	PBRM1 (NM_018313) - DNAH1 (NM_015512) rearrangement: c.714:PBRM1_c.11736:DNAH1inv The PBRM1 (NM_018313) - DNAH1 (NM_015512) rearrangement is an inversion which results in the fusion of PBRM1 exons 1-7 with DNAH1 exons 73-78. One of the breakpoints is within exon 73 of DNAH1. The functional significance is undetermined.	
PBRM1	0	MSKCC-DMP	P-0005352-T01-IM5	PBRM1-DNAH1 fusion	yes	unknown	NA	unknown	PBRM1 (NM_018313) - DNAH1 (NM_015512) rearrangement: c.714:PBRM1_c.11736:DNAH1inv The PBRM1 (NM_018313) - DNAH1 (NM_015512) rearrangement is an inversion which results in the fusion of PBRM1 exons 1-7 with DNAH1 exons 73-78. One of the breakpoints is within exon 73 of DNAH1. The functional significance is undetermined.	
EGFR	0	MSKCC-DMP	P-0009711-T01-IM5	EGFR-intragenic	yes	unknown	NA	in frame	EGFR (NM_005228) vIII intragenic deletion: c.89-52008_c.889+769del	
EGFR	0	MSKCC-DMP	P-0006045-T01-IM5	EGFR-intragenic	yes	unknown	NA	in frame	EGFR (NM_005228) vIII intragenic deletion : c.89-25091_c.890-32del	
ALK	0	MSKCC-DMP	P-0008332-T01-IM5	EML4-ALK fusion	yes	unknown	NA	unknown	EML4 (NM_019063) - ALK (NM_004304) rearrangement :  c.1489+828:EML4_c.3173-518:ALKdup confirm with archer	
EML4	0	MSKCC-DMP	P-0008332-T01-IM5	EML4-ALK fusion	yes	unknown	NA	unknown	EML4 (NM_019063) - ALK (NM_004304) rearrangement :  c.1489+828:EML4_c.3173-518:ALKdup confirm with archer	
FH	0	MSKCC-DMP	P-0005712-T01-IM5	FH-intragenic	yes	unknown	NA	in frame	FH (NM_000143) rearrangement: c.556-906_c.1236+14dup The FH (NM_000143) rearrangement is an intragenic in frame duplication of FH exons 5-8. The functional significance is undetermined.	
